information content index (neighborhood symmetry of 0-order),3D Petitjean shape index,structural information content index (neighborhood symmetry of 0-order),Geary autocorrelation of lag 1 weighted by van der Waals volume,dipole moment,energy of the highest occupied molecular orbital,energy of the lowest occupied molecular orbital,chemical potential,hardness,electrophilicity index,UFL
0.8113,0.297,0.2704,2.0,0.0,-0.3395,0.1036,-0.11795,0.4431,0.0156987164296998,12.5
0.8454,0.4953,0.2444,1.8333,0.0656,-0.3258,0.0958,-0.1149999999999999,0.4216,0.0156842979127134,9.5
0.8631,0.3775,0.2267,1.75,0.0652,-0.3156,0.0905,-0.11255,0.4061,0.0155965310268406,8.5
0.8631,0.495,0.2267,1.75,0.0917,-0.3207,0.0861,-0.1172999999999999,0.4068,0.0169116150442477,8.4
0.874,0.4911,0.2138,1.7,0.0708,-0.3033,0.093,-0.10515,0.3963,0.0139496877365632,7.8
0.874,0.3165,0.2138,1.7,0.0614,-0.3078,0.0868,-0.1105,0.3946,0.0154716801824632,7.6
0.874,0.4958,0.2138,1.7,0.0002,-0.3151,0.076,-0.1195499999999999,0.3911,0.0182718006903605,7.5
0.8813,0.422,0.2039,1.6667,0.0341,-0.2984,0.0915,-0.10345,0.3899,0.0137239067709669,7.5
0.8865,0.4974,0.196,1.6429,0.049,-0.2922,0.091,-0.1006,0.3832,0.0132050626304801,7.0
0.8865,0.4318,0.196,1.6429,0.0865,-0.2942,0.081,-0.1066,0.3752,0.0151433368869936,6.7
0.8905,0.4394,0.1894,1.625,0.0634,-0.2978,0.0924,-0.1027,0.3902,0.0135152357765248,6.5
0.8936,0.4961,0.1839,1.6111,0.045,-0.2952,0.0816,-0.1068,0.3768,0.0151356687898089,5.6
0.896,0.452,0.1792,1.6,0.0132,-0.2922,0.0804,-0.1059,0.3726,0.0150493961352657,5.4
0.9183,0.3146,0.3552,1.5,0.0,-0.2657,0.0181,-0.1238,0.2838,0.0270021846370683,36.0
0.9183,0.4746,0.2897,1.5,0.3669,-0.2481,0.0283,-0.1099,0.2764,0.0218487879884225,11.0
0.9183,0.3473,0.2562,1.5,0.343,-0.2484,0.0257,-0.11135,0.2741,0.0226173340021889,9.3
0.9183,0.3923,0.2562,1.5,0.0,-0.2324,0.037,-0.0977,0.2694,0.017715831477357,9.7
