feature,original,summary,reference
New label: metals fraction zero,"27–30The formation or presence of open metal sites in
these metallo-ligands will not be the topic of this review as thisis even more closely related to classical coordination chemistry.
In MOF structures any change to the metal ions in the metal
SBU must ensure the integrity of the network. Importantly, the
MOF structure must not collapse, and their crystallinity and
porosity should be preserved, that is, a labile terminal ligandshould be removed without damage to the framework. Theobtained not fully coordinated metal ions are termed open metalsites (OMS) or coordinatively unsaturated sites (CUS) or occasion-ally also open coordination sites (OCS). Open metal site chemistrybased on MOFs started in 1999, when HKUST-1 (Hong KongUniversity of Science and Technology, commercially available as
Basolite C300 from BASF) was reported by Williams et al.
31as the","The text discusses the concept of open metal sites (OMS) in metal-organic frameworks (MOFs). It emphasizes that any modifications to the metal ions within the secondary building units (SBUs) of MOFs must maintain the structural integrity, crystallinity, and porosity of the framework. This involves the removal of a labile terminal ligand without damaging the framework, resulting in not fully coordinated metal ions, referred to as OMS, coordinatively unsaturated sites (CUS), or occasionally open coordination sites (OCS). The study of OMS in MOFs began in 1999 with the report of HKUST-1 by Williams et al.","REFERENCE:(U¨lku¨ Ko¨kçam-Demir, Anna Goldman, Leili Esrafili, Maniya Gharib, Ali Morsali, Oliver Weingart, Christoph Janiak,2020,Coordinatively unsaturated metal sites (open metal sites) in metal–organic frameworks: design and applications)"
New label: metals fraction zero,"They found that the redox properties of metal sites within M-
MOFs-74 might play important roles for their diﬀerential
stability towards water/humidity.
This journal is © The Royal Society of Chemistry 2014 Energy Environ. Sci., 2014,7, 2868–2899 | 2885Perspective Energy & Environmental SciencePublished on 14 April 2014. Downloaded by ECOLE POLYTECHNIC FED DE LAUSANNE on 9/17/2023 5:58:26 AM. View Article Online",The study suggests that the redox properties of metal sites in M-MOFs-74 are likely significant factors influencing their varying stability when exposed to water or humidity.,"REFERENCE:(Zhangjing Zhang, Zi-Zhu Yao, Shengchang Xiang, Banglin Chen,2014,Perspective of microporous metal–organic frameworks for CO2 capture and separation)"
New label: metals fraction zero,"to the fraction of open-metal sites estimated from H2O
adsorption isotherms ( Figure 8 ) show quantitative agreement
between values obtained using the two methods ( Figure 8 ),
suggesting that the method proposed here can be used to
estimate open-metal site density regardless of metal and anion
identity. We believe that the broad applicability of the methods
presented here may re ﬂect the fundamental, universal nature of
irreversible room temperature water chemisorption onto
coordinatively unsaturated metal sites which we propose
can be exploited in the accurate estimation of open-metal site
densities in MOF materials.■CONCLUSIONS
A new method for counting open-metal sites in MOF materials
is presented here. The method uses the fraction of wateradsorbed irreversibly at room temperature as a proxy for open-metal site density. Comparison with IR spectroscopy dataelucidating dehydration and dehydroxylation events on thehydroxyl-version of MIL-100(Cr) con ﬁrms site counts","The text discusses a new method for estimating the density of open-metal sites in metal-organic framework (MOF) materials. This method utilizes the fraction of water that adsorbs irreversibly at room temperature as an indicator of open-metal site density. The results from this method show quantitative agreement with values obtained from H2O adsorption isotherms, suggesting its broad applicability across different metals and anions. The method's validity is further supported by comparison with infrared (IR) spectroscopy data, which confirms site counts through dehydration and dehydroxylation events in the hydroxyl-version of MIL-100(Cr). This approach leverages the universal nature of irreversible water chemisorption onto coordinatively unsaturated metal sites.","REFERENCE:(Jacklyn N. Hall, Praveen Bollini,2020,Quantification of Open-Metal Sites in Metal−Organic Frameworks Using Irreversible Water Adsorption)"
New label: metals fraction zero,"CO2Dynamics in Pure and Mixed-Metal MOFs with Open Metal Sites
Robert M. Marti,†Joshua D. Howe,‡Cody R. Morelock,‡Mark S. Conradi,†,§,∥Krista S. Walton,‡
David S. Sholl,‡and Sophia E. Hayes *,†
†Department of Chemistry, Washington University, One Brookings Drive, Saint Louis, Missouri 63130, United States
‡School of Chemical and Biomolecular Engineering, Georgia Institute of Technology, 311 Ferst Drive NW, Atlanta, Georgia 30332,
United States
§Department of Physics, Washington University, One Brookings Drive, Saint Louis, Missouri 63130, United States
∥ABQMR, 2301 Yale Boulevard SE, Albuquerque, New Mexico 87106, United States
*SSupporting Information
ABSTRACT: Metal−organic frameworks (MOFs), such as MOF-74, can
have open metal sites to which adsorbates such as CO 2preferentially bind.
13C NMR of13CO 2is highly informative about the binding sites present in
Mg-MOF-74. We used this technique to investigate loadings between ∼0.88","The study investigates the dynamics of CO2 in metal-organic frameworks (MOFs) with open metal sites, focusing on both pure and mixed-metal MOFs. The research utilizes \(^{13}\)C NMR spectroscopy to analyze the binding sites of \(^{13}\)CO2 in Mg-MOF-74. This technique provides detailed insights into how CO2 interacts with the open metal sites within the framework, particularly at different loading levels.","REFERENCE:(Robert M. Marti, Joshua D. Howe, Cody R. Morelock, Mark S. Conradi, Krista S. Walton, David S. Sholl, Sophia E. Hayes,2017,CO2 Dynamics in Pure and Mixed-Metal MOFs with Open Metal Sites)"
New label: metals fraction zero,"larger than Ni2+, it often forms distorted octahedral complexes,
due to the Jahn -Teller effect.
In summary, by combining experimental efforts with theoretical
calculations, we directly compared the role of metals in arepresentative, isostructural MOF system, M
2(dhtp). In this series,
we found the H 2binding following the trend of “Zn2+<Mn2+<
Mg2+<Co2+<Ni2+”. Our results suggest that the relative
strength of interaction of M2+-H2may be empirically predicted
by the ionic radius of the cations in same coordination environment.
This may provide a convenient guideline for the future developmentof MOFs with unsaturated metal sites.
Acknowledgment. This work was partially supported by DOE
BES Grant No. DE-FG02-08ER46522 (T.Y.).
Supporting Information Available: Synthetic procedure, X-ray
powder diffraction data, H 2adsorption isotherms, description of our
DFT calculations. This materials is available free of charge via the
Internet at http://pubs.acs.org.
References","The text discusses the role of metal ions in a series of isostructural metal-organic frameworks (MOFs), specifically M2(dhtp). The study combines experimental and theoretical approaches to compare the influence of different metal ions on hydrogen (H2) binding. The observed trend in H2 binding strength is ""Zn2+ < Mn2+ < Mg2+ < Co2+ < Ni2+."" The results indicate that the interaction strength between M2+ ions and H2 can be predicted based on the ionic radius of the cations within the same coordination environment. This finding could guide the development of MOFs with unsaturated metal sites. The research was partially funded by a DOE BES grant, and additional supporting information is available online.","REFERENCE:(Wei Zhou, Hui Wu, Taner Yildirim,2008,Enhanced H2 Adsorption in Isostructural Metal-Organic Frameworks with Open Metal Sites: Strong Dependence of the Binding Strength on Metal Ions)"
New label: density of solid,"chemistries19−23as well as adsorption sites for both
enhanced24−28and selective29−32gas adsorption at low partial
pressures. We assert that the ability to accurately measure thedensity of open-metal sites existing under a given set of
experimental conditions can serve as a strong foundation for
the rigorous interpretation of adsorption and catalytic data onMOFs, and also aid in their rational design for a variety ofapplications.
Techniques commonly used in the literature to assess open-
metal site density include temperature-programmed desorption(TPD), CO and H
2adsorption, and probe molecule infrared
spectroscopy.33Despite the widespread use of ammonia TPD
in characterizing acid sites in zeolites,34−36its use in estimating
MOF OMS densities presents two major drawbacks. First, the
temperature range for desorption from di ﬀerent types of acid
sites (for example, Lewis versus Brønsted acid sites) can often
Received: November 19, 2019
Revised: January 22, 2020","The text discusses the importance of accurately measuring the density of open-metal sites (OMS) in metal-organic frameworks (MOFs) under specific experimental conditions. This measurement is crucial for interpreting adsorption and catalytic data and for the rational design of MOFs for various applications. Common techniques for assessing OMS density include temperature-programmed desorption (TPD), CO and H₂ adsorption, and probe molecule infrared spectroscopy. However, using ammonia TPD to estimate OMS densities in MOFs has two significant drawbacks: the temperature range for desorption varies between different types of acid sites, such as Lewis and Brønsted acid sites.","REFERENCE:(Jacklyn N. Hall, Praveen Bollini,2020,Quantification of Open-Metal Sites in Metal−Organic Frameworks Using Irreversible Water Adsorption)"
New label: density of solid,"27–30The formation or presence of open metal sites in
these metallo-ligands will not be the topic of this review as thisis even more closely related to classical coordination chemistry.
In MOF structures any change to the metal ions in the metal
SBU must ensure the integrity of the network. Importantly, the
MOF structure must not collapse, and their crystallinity and
porosity should be preserved, that is, a labile terminal ligandshould be removed without damage to the framework. Theobtained not fully coordinated metal ions are termed open metalsites (OMS) or coordinatively unsaturated sites (CUS) or occasion-ally also open coordination sites (OCS). Open metal site chemistrybased on MOFs started in 1999, when HKUST-1 (Hong KongUniversity of Science and Technology, commercially available as
Basolite C300 from BASF) was reported by Williams et al.
31as the","The text discusses the concept of open metal sites (OMS) in metal-organic frameworks (MOFs). It emphasizes that any modifications to the metal ions within the secondary building units (SBUs) of MOFs must maintain the structural integrity, crystallinity, and porosity of the framework. This involves removing a labile terminal ligand without damaging the framework, resulting in not fully coordinated metal ions, referred to as OMS, coordinatively unsaturated sites (CUS), or open coordination sites (OCS). The study of OMS in MOFs began in 1999 with the report of HKUST-1 by Williams et al.","REFERENCE:(U¨lku¨ Ko¨kçam-Demir, Anna Goldman, Leili Esrafili, Maniya Gharib, Ali Morsali, Oliver Weingart, Christoph Janiak,2020,Coordinatively unsaturated metal sites (open metal sites) in metal–organic frameworks: design and applications)"
New label: density of solid,"CO2Dynamics in Pure and Mixed-Metal MOFs with Open Metal Sites
Robert M. Marti,†Joshua D. Howe,‡Cody R. Morelock,‡Mark S. Conradi,†,§,∥Krista S. Walton,‡
David S. Sholl,‡and Sophia E. Hayes *,†
†Department of Chemistry, Washington University, One Brookings Drive, Saint Louis, Missouri 63130, United States
‡School of Chemical and Biomolecular Engineering, Georgia Institute of Technology, 311 Ferst Drive NW, Atlanta, Georgia 30332,
United States
§Department of Physics, Washington University, One Brookings Drive, Saint Louis, Missouri 63130, United States
∥ABQMR, 2301 Yale Boulevard SE, Albuquerque, New Mexico 87106, United States
*SSupporting Information
ABSTRACT: Metal−organic frameworks (MOFs), such as MOF-74, can
have open metal sites to which adsorbates such as CO 2preferentially bind.
13C NMR of13CO 2is highly informative about the binding sites present in
Mg-MOF-74. We used this technique to investigate loadings between ∼0.88","The study investigates the dynamics of CO2 in metal-organic frameworks (MOFs) with open metal sites, focusing on both pure and mixed-metal MOFs. The research utilizes \(^{13}\)C NMR spectroscopy to analyze the binding sites of \(^{13}\)CO2 in Mg-MOF-74. This technique provides detailed insights into how CO2 interacts with the open metal sites within the framework, particularly at various loadings around 0.88.","REFERENCE:(Robert M. Marti, Joshua D. Howe, Cody R. Morelock, Mark S. Conradi, Krista S. Walton, David S. Sholl, Sophia E. Hayes,2017,CO2 Dynamics in Pure and Mixed-Metal MOFs with Open Metal Sites)"
New label: density of solid,"One possible solution to this problem is a class of porous
crystalline materials, known as metal −organic frameworks
(MOFs), which consist of metal-ions or metal-ion clusters that
are interlinked by organic ligands. These unique materials o ﬀer
unprecedented internal surface area and easy chemicaltunability, allowing chemists to readily adjust their adsorption
properties.
4,8−10The presence of metal ions and multiple types
of chemical moieties on the organic building blocks create a
potential energy landscape with multiple minima for an
incoming guest species; this corresponds to well-de ﬁned
adsorption sites with varying binding energies.11Considering
this, these materials o ﬀer a unique opportunity to gain direct
insight into their structure-derived function using X-ray and
neutron di ﬀraction techniques. Di ﬀraction data providebinding mechanisms, reveal the relative di ﬀerences in binding
energies between neighboring adsorption sites, and deliver","Metal-organic frameworks (MOFs) are porous crystalline materials composed of metal ions or clusters connected by organic ligands. They offer significant internal surface area and chemical tunability, allowing for the adjustment of adsorption properties. The presence of metal ions and diverse chemical moieties creates a potential energy landscape with multiple minima, corresponding to distinct adsorption sites with varying binding energies. X-ray and neutron diffraction techniques can be used to gain insights into the structure-derived functions of MOFs, revealing binding mechanisms and differences in binding energies between adjacent adsorption sites.","REFERENCE:(Mehrdad Asgari, Rocio Semino, Pascal A. Schouwink, Ilia Kochetygov, Jacob Tarver, Olga Trukhina, Rajamani Krishna, Craig M. Brown, Michele Ceriotti, Wendy L. Queen,2020,Understanding How Ligand Functionalization Influences CO2 and N2 Adsorption in a Sodalite Metal−Organic Framework)"
New label: density of solid,"They found that the redox properties of metal sites within M-
MOFs-74 might play important roles for their diﬀerential
stability towards water/humidity.
This journal is © The Royal Society of Chemistry 2014 Energy Environ. Sci., 2014,7, 2868–2899 | 2885Perspective Energy & Environmental SciencePublished on 14 April 2014. Downloaded by ECOLE POLYTECHNIC FED DE LAUSANNE on 9/17/2023 5:58:26 AM. View Article Online",The study suggests that the redox properties of metal sites in M-MOFs-74 are likely significant factors influencing their varying stability when exposed to water or humidity.,"REFERENCE:(Zhangjing Zhang, Zi-Zhu Yao, Shengchang Xiang, Banglin Chen,2014,Perspective of microporous metal–organic frameworks for CO2 capture and separation)"
