feature,original,summary,reference
"The original label is ""volume_per_atom_0"". By removing the integer, we get ""volume_per_atom"". A more human interpretable version of this label could be ""Volume per Atom"".","uniform grid size of 0.1 Å for all of the structures. The size of the cavity
thatﬁts the largest sphere gives the largest cavity diameter (LCD), and
the size of the narrowest part of the channel that propagates through
the material de ﬁnes the pore limiting diameter (PLD) of the structure.
An open channel consisting of the connected grid points de ﬁnes the
accessible pore volume. The pore volume was also computed bycounting the number of grid points that do not overlap with the
framework atoms. Details of this method are described by Haldoupis
et al.8The accessible surface areas of the MOFs were computed by the
method of Du ̈ren and Snurr.50A probe size of 3.64 Å was used to
match the kinetic diameter of N2because the surface area of an MOF
is typically quanti ﬁed by the BET method with the N 2isotherm at 77
K.51
The second level of screening i nvolves classical molecular
simulations to examine molecular adsorption and di ﬀusion properties.","The text describes a method for characterizing the structural properties of materials, specifically focusing on the measurement of pore characteristics. A uniform grid size of 0.1 Å is used for all structures to determine the largest cavity diameter (LCD) and the pore limiting diameter (PLD). The accessible pore volume is defined by the open channel of connected grid points, and is calculated by counting grid points that do not overlap with the framework atoms, as detailed by Haldoupis et al. The accessible surface areas of metal-organic frameworks (MOFs) are computed using the method of Dürren and Snurr, with a probe size of 3.64 Å to match the kinetic diameter of N₂, aligning with the BET method using N₂ isotherms at 77 K. The second level of screening involves classical molecular simulations to assess molecular adsorption and diffusion properties.","REFERENCE:(Taku Watanabe, David S. Sholl,2012,Accelerating Applications of Metal−Organic Frameworks for Gas Adsorption and Separation by Computational Screening of Materials)"
"The original label is ""volume_per_atom_0"". By removing the integer, we get ""volume_per_atom"". A more human interpretable version of this label could be ""Volume per Atom"".","A simplifying feature of silica zeolites is that the interiors of
all pores in these materials are deﬁned by O atoms. For thisreason, a geometric analysis of the pore structure can beperformed without needing to deﬁne the sizes of different atomicspecies. This simpliﬁcation makes the use of Delaunay trian-gulation more straightforward for these chemically simple poresthan it would be for the chemically richer structures deﬁned byMOFs. Because the method we have deﬁned above provides anatural way to describe pores comprised of arbitrary atomicspecies, our method is better suited to examining MOFs thanthe methods of Foster et al.
3.2. Pore-Limiting Diameters and Largest Cavity Diameters
of MOFs. To demonstrate the value of our methods for
characterizing MOFs, we examined the collection of 774 MOFscompiled in 2005 by Ockwig et al.
33This list was originally
developed to perform a taxonomical analysis of the types oftopological nets that occur in MOFs.
33Although the number","The text discusses the analysis of pore structures in silica zeolites and metal-organic frameworks (MOFs). In silica zeolites, the pore interiors are defined solely by oxygen atoms, allowing for a simplified geometric analysis using Delaunay triangulation without considering different atomic species. This simplicity contrasts with the more complex chemical structures of MOFs. The authors propose a method that can describe pores with arbitrary atomic species, making it more suitable for analyzing MOFs compared to previous methods. To demonstrate the effectiveness of their method, they examined a collection of 774 MOFs compiled by Ockwig et al. in 2005, which was initially used for a taxonomical analysis of topological nets in MOFs.","REFERENCE:(Emmanuel Haldoupis, Sankar Nair, David S. Sholl,2010,Efficient Calculation of Diffusion Limitations in Metal Organic Framework Materials: A Tool for Identifying Materials for Kinetic Separations)"
"The original label is ""volume_per_atom_0"". By removing the integer, we get ""volume_per_atom"". A more human interpretable version of this label could be ""Volume per Atom"".","diameter of a hydrogen molecule. The numbers in parenthesis provide
the number of MOFs for which atomic coordinates are provided in
the CoRE MOF databases; the remaining structures are de ﬁned via a
CSD REFCODE.bThe number of Web of Science structures
decreases from 552 to 546 because some of the MOFs are no longer
3D following the bound solvent removal.Journal of Chemical & Engineering Data Article
DOI: 10.1021/acs.jced.9b00835
J. Chem. Eng. Data 2019, 64, 5985 −59985989","The text discusses the availability of atomic coordinates for metal-organic frameworks (MOFs) in the CoRE MOF databases, with some structures defined by CSD REFCODE. It notes a decrease in the number of Web of Science structures from 552 to 546 due to some MOFs losing their 3D structure after solvent removal. The information is sourced from an article in the Journal of Chemical & Engineering Data, published in 2019.","REFERENCE:(Yongchul G. Chung, Emmanuel Haldoupis, Benjamin J. Bucior, Maciej Haranczyk, Seulchan Lee, Hongda Zhang, Konstantinos D. Vogiatzis, Marija Milisavljevic, Sanliang Ling, Jeffrey S. Camp, Ben Slater, J. Ilja Siepmann, David S. Sholl, Randall Q. Snurr,2019,Advances, Updates, and Analytics for the Computation-Ready, Experimental Metal−Organic Framework Database: CoRE MOF 2019)"
"The original label is ""volume_per_atom_0"". By removing the integer, we get ""volume_per_atom"". A more human interpretable version of this label could be ""Volume per Atom"".","(Mg
2(dobpdc)),56where the PLD value increased from ∼10
to∼17 Å upon removal of dimethylformamide.
The removal of bound solvents can have a large impact on the
accessible volumetric surface area (AVSA), for example, byexposing blocked pores (which will increase the overall surfacearea) or by ﬂattening the protruding solvents (which may
decrease the overall surface area). Figure 2 cs h o w st h e
Figure 2. Comparison between the geometric properties of CoRE
MOF 2019-ASR and 2019-FSR datasets ( N= 8815): (a) largest cavity
diameter (LCD), (b) pore limiting diameter (PLD), (c) accessible
volumetric surface area (AVSA).Journal of Chemical & Engineering Data Article
DOI: 10.1021/acs.jced.9b00835
J. Chem. Eng. Data 2019, 64, 5985 −59985990","The text discusses the impact of solvent removal on the structural properties of a metal-organic framework (MOF), specifically Mg2(dobpdc). The pore limiting diameter (PLD) of this MOF increased from approximately 10 Å to 17 Å upon the removal of dimethylformamide. This change highlights how the removal of bound solvents can significantly affect the accessible volumetric surface area (AVSA) by either exposing previously blocked pores, thereby increasing the surface area, or by flattening protruding solvents, which may decrease the surface area. Figure 2 in the referenced article compares the geometric properties, including the largest cavity diameter (LCD), PLD, and AVSA, between two datasets: CoRE MOF 2019-ASR and 2019-FSR, consisting of 8815 entries.","REFERENCE:(Yongchul G. Chung, Emmanuel Haldoupis, Benjamin J. Bucior, Maciej Haranczyk, Seulchan Lee, Hongda Zhang, Konstantinos D. Vogiatzis, Marija Milisavljevic, Sanliang Ling, Jeffrey S. Camp, Ben Slater, J. Ilja Siepmann, David S. Sholl, Randall Q. Snurr,2019,Advances, Updates, and Analytics for the Computation-Ready, Experimental Metal−Organic Framework Database: CoRE MOF 2019)"
"The original label is ""volume_per_atom_0"". By removing the integer, we get ""volume_per_atom"". A more human interpretable version of this label could be ""Volume per Atom"".","incrementally considers other geometric properties of MOFs(such as the surface area, density, and pore limiting diameter).As aﬁrst step, the chemical formula of each MOF is compared by
reducing the stoichiometric coe ﬃcients of the elements to their
lowest possible integer values. Hydrogen atoms must also be
included in the molecular formula to capture the subtlediﬀerences between the bond order of ligands. For example,
PCN-11 and PCN-16 di ﬀer by a single bond in their organic
ligand. Stoichiometry coe ﬃcients of the elements are not
enough as a complete ﬁngerprint to identify identical MOF
structures from two databases. For example, multiple MOFpolymorphs can exist with the same chemical composition. Onepossible way to recognize the e ﬀect of atomic packing inside a
crystal structure is to use the crystal density as a descriptor.
Depending on the crystal density, the same molecular formulamay represent a di ﬀerent structure. For example, interpenetrated","The text discusses the characterization of Metal-Organic Frameworks (MOFs) by considering their geometric properties, such as surface area, density, and pore limiting diameter. Initially, the chemical formula of each MOF is standardized by reducing the stoichiometric coefficients of elements to their simplest integer values, including hydrogen atoms to account for subtle differences in ligand bond orders. This approach highlights that stoichiometric coefficients alone are insufficient to uniquely identify MOF structures, as different polymorphs can share the same chemical composition. To address this, crystal density is suggested as a descriptor to differentiate structures with the same molecular formula, as variations in density can indicate different atomic packing within the crystal.","REFERENCE:(Yongchul G. Chung, Emmanuel Haldoupis, Benjamin J. Bucior, Maciej Haranczyk, Seulchan Lee, Hongda Zhang, Konstantinos D. Vogiatzis, Marija Milisavljevic, Sanliang Ling, Jeffrey S. Camp, Ben Slater, J. Ilja Siepmann, David S. Sholl, Randall Q. Snurr,2019,Advances, Updates, and Analytics for the Computation-Ready, Experimental Metal−Organic Framework Database: CoRE MOF 2019)"
Symmetry Function G1: A New Perspective,"A simplifying feature of silica zeolites is that the interiors of
all pores in these materials are deﬁned by O atoms. For thisreason, a geometric analysis of the pore structure can beperformed without needing to deﬁne the sizes of different atomicspecies. This simpliﬁcation makes the use of Delaunay trian-gulation more straightforward for these chemically simple poresthan it would be for the chemically richer structures deﬁned byMOFs. Because the method we have deﬁned above provides anatural way to describe pores comprised of arbitrary atomicspecies, our method is better suited to examining MOFs thanthe methods of Foster et al.
3.2. Pore-Limiting Diameters and Largest Cavity Diameters
of MOFs. To demonstrate the value of our methods for
characterizing MOFs, we examined the collection of 774 MOFscompiled in 2005 by Ockwig et al.
33This list was originally
developed to perform a taxonomical analysis of the types oftopological nets that occur in MOFs.
33Although the number","The text discusses the analysis of pore structures in silica zeolites and metal-organic frameworks (MOFs). In silica zeolites, the pore interiors are defined solely by oxygen atoms, allowing for a simplified geometric analysis using Delaunay triangulation without considering different atomic species. This simplicity contrasts with the more complex chemical structures of MOFs. The authors propose a method that can describe pores composed of various atomic species, making it more suitable for analyzing MOFs compared to previous methods. To demonstrate the effectiveness of their method, they examined a collection of 774 MOFs compiled by Ockwig et al. in 2005, which was initially used for a taxonomical analysis of MOF topological nets.","REFERENCE:(Emmanuel Haldoupis, Sankar Nair, David S. Sholl,2010,Efficient Calculation of Diffusion Limitations in Metal Organic Framework Materials: A Tool for Identifying Materials for Kinetic Separations)"
Symmetry Function G1: A New Perspective,"34. J. Zaanen, Nature 404, 714 (2000).
35. We acknowledge and thank S. Sachdev, S. Kivelson,
D.-H. Lee, E. Demler, S.-C. Zhang, J. Sethna, G. Aeppli, J.Orenstein, W. Halperin, and S. H. Pan for helpful con-versations and communications. This work was fundedby the OfÞce of Naval Research, the Materials SciencesDivision of Lawrence Berkeley National Laboratory, theCULAR Program of Los Alamos National Laboratory, aswell as a Grant-in-Aids for ScientiÞc Research, a COEGrant from the Ministry of Education, and an Interna-tional Joint Research Grant from the New Energy andIndustrial Technology Organization in Japan. J.E.H. ac-knowledges support by a Hertz Fellowship, K.M.L. by anIBM Fellowship, and J.C.D. by a Miller Professorship.
9 October 2001; accepted 10 December 2001
Systematic Design of Pore Size
and Functionality in Isoreticular
MOFs and Their Application in
Methane Storage
Mohamed Eddaoudi,1Jaheon Kim,1Nathaniel Rosi,1
David Vodak,1Joseph Wachter,1Michael OÕKeeffe,2
Omar M. Yaghi1*","The provided text is an excerpt from a journal article that includes acknowledgments and funding sources for a research study. The study, titled ""Systematic Design of Pore Size and Functionality in Isoreticular MOFs and Their Application in Methane Storage,"" was conducted by Mohamed Eddaoudi, Jaheon Kim, Nathaniel Rosi, David Vodak, Joseph Wachter, Michael O'Keeffe, and Omar M. Yaghi. The research was supported by various organizations, including the Office of Naval Research, the Materials Sciences Division of Lawrence Berkeley National Laboratory, the CULAR Program of Los Alamos National Laboratory, and several grants from Japanese institutions. Individual support was provided through fellowships and a professorship. The article was received on October 9, 2001, and accepted on December 10, 2001.","REFERENCE:(Mohamed Eddaoudi, Jaheon Kim, Nathaniel Rosi, David Vodak, Joseph Wachter, Michael O'Keeffe, Omar M. Yaghi,2002,Systematic Design of Pore Size and Functionality in Isoreticular MOFs and Their Application in Methane Storage)"
Symmetry Function G1: A New Perspective,"of the smallest pore and can be ex ternally functionalized to
connect the SBBs. Furthermore the choice of shape, size andsymmetry of the molecular entity connecting the SBBs can controlthe number of pores as well as their shape and size. In recentyears it was successfully applied to the synthesis of several(i.e.mesoporous) MOFs.
42
In 2008 Lah and co-workers43prepared an extended MOF
with rhttopology from MOP-1 by utilizing covalent bonding.
They synthesized a C 3-symmetric facial ligand, which can be
regarded as three 1,3-bdc moieties linked through a trigonalorganic unit. The MOF contains octahedral and tetrahedral cavities18.8 Å and 13.7 Å in diameter, respectively. Unfortunately, theadsorption properties of the MOF were not reported.
In 2008 Eddaoudi and Zaworotko also presented a MOF with
arht-like network based on the MOP-1 unit ([Cu
6O(TZI) 3(H2O)9-
(NO 3)], TZI = 5-tetrazolylisophthalate), consisting of three diﬀerent","The text discusses the synthesis and structural characteristics of metal-organic frameworks (MOFs) with a focus on the role of smallest pore sizes and external functionalization in connecting secondary building blocks (SBBs). The shape, size, and symmetry of the molecular entities connecting these SBBs can influence the number, shape, and size of the pores. In 2008, Lah and colleagues synthesized an extended MOF with rht topology from MOP-1 using covalent bonding. They used a C3-symmetric facial ligand composed of three 1,3-bdc moieties linked by a trigonal organic unit, resulting in a MOF with octahedral and tetrahedral cavities measuring 18.8 Å and 13.7 Å in diameter, respectively. However, the adsorption properties of this MOF were not reported. Additionally, in 2008, Eddaoudi and Zaworotko introduced a MOF with an rht-like network based on the MOP-1 unit, incorporating the TZI ligand (5-tetrazolylisophthalate).","REFERENCE:(Irena Senkovska, Stefan Kaskel,2014,Ultrahigh porosity in mesoporous MOFs: promises and limitations)"
Symmetry Function G1: A New Perspective,"N
2acts as the diameter of probe molecule to calculate the
surface area, and the probe diameter of 0 nm is used tocalculate the free pore volume. Because the kinetic diameter ofC
2H2is 3.3 Å, MOFs with PLD aperture less than 3.3 Åare
not considered, and ﬁnally 8681 instances are selected.
2.2. Molecular simulation methods
The force ﬁeld parameters of C 2H2are directly from our
previous work [ 21]. The grand canonical monte carlo (GCMC)
simulations are used to calculate C 2H2uptake and Q stof
MOFs at 295 K and pressure up to 0.1 Mpa. All calculationsare performed using our in-house code High-throughput-basedComplex Adsorption and Diffusion Simulation Suite (HT-CADSS).
1All MOFs are considered as rigid materials, and
periodic boundary conditions are adopted on three –
dimensional scale. A cutoff of 14.0 Åis used for all LJ in-","The text describes a study on the adsorption properties of metal-organic frameworks (MOFs) using molecular simulation methods. Nitrogen (N₂) is used as a probe molecule to calculate the surface area, while a probe diameter of 0 nm is used to determine the free pore volume. MOFs with a pore limiting diameter (PLD) aperture smaller than the kinetic diameter of acetylene (C₂H₂), which is 3.3 Å, are excluded from the study, resulting in 8681 selected instances. The force field parameters for C₂H₂ are sourced from previous work. Grand canonical Monte Carlo (GCMC) simulations are employed to calculate the uptake and isosteric heat of adsorption (Q_st) of C₂H₂ in MOFs at 295 K and pressures up to 0.1 MPa. The simulations are conducted using an in-house code called High-throughput-based Complex Adsorption and Diffusion Simulation Suite (HT-CADSS). All MOFs are treated as rigid structures, and periodic boundary conditions are applied in three dimensions, with a Lennard-Jones (LJ) interaction cutoff of 14.0 Å.","REFERENCE:(Peisong Yang, Gang Lu, Qingyuan Yang, Lei Liu, Xin Lai, Duli Yu,2022,Analyzing acetylene adsorption of metal–organic frameworks based on machine learning)"
Symmetry Function G1: A New Perspective,"Gases and Liquids ; Wiley: New York, 1965.
Figure 7. Calculated energy barrier for CH 4diffusion in 216 MOFs shown
as a function of the pore-limiting diameter. The solid lines are the upperand lower bounds on the energy barrier described in the text.
Figure 8. Calculated energy barrier for H 2diffusion in 216 MOFs shown
as a function of the pore-limiting diameter. The solid lines are the upperand lower bounds on the energy barrier described in the text.
J. AM. CHEM. SOC. 9VOL. 132, NO. 21, 2010 7535Diffusion Limitations in Metal Organic Framework Materials ARTICLES","The text discusses the calculated energy barriers for the diffusion of methane (CH₄) and hydrogen (H₂) in 216 metal-organic frameworks (MOFs). These energy barriers are presented as functions of the pore-limiting diameter of the MOFs. Figures 7 and 8 illustrate these relationships, with solid lines indicating the upper and lower bounds of the energy barriers, as described in the accompanying text. The study is published in the Journal of the American Chemical Society, Volume 132, Issue 21, in 2010, on page 7535, focusing on diffusion limitations in MOF materials.","REFERENCE:(Emmanuel Haldoupis, Sankar Nair, David S. Sholl,2010,Efficient Calculation of Diffusion Limitations in Metal Organic Framework Materials: A Tool for Identifying Materials for Kinetic Separations)"
