feature,original,summary,reference
"To create a new label in a human interpretable manner, we need to focus on the essence of the label without the integers. The label ""presence of an atom at an aromatic/non-aromatic boundary"" already provides a clear description of the concept. Therefore, the new label could be:

""Atom at Aromatic Boundary""

This label succinctly conveys the idea of an atom located at the transition between aromatic and non-aromatic regions.","The model can be explained with the following SHAP analysis.Feature presence of an atom at an aromatic/non-aromatic boundary has a correlation coefficient of  -0.9530949267381278 with its SHAP values. 
The average impact of presence of an atom at an aromatic/non-aromatic boundary is 0.4800550108869132.
 Feature presence of two heteroatoms bonded to each other has a correlation coefficient of  -0.9687596713558213 with its SHAP values. 
The average impact of presence of two heteroatoms bonded to each other is 0.3475360171158389.
 Feature presence of an atom with three heteroatom neighbors has a correlation coefficient of  -0.9601062793015338 with its SHAP values. 
The average impact of presence of an atom with three heteroatom neighbors is 0.24887870924133884.","The SHAP analysis of the model reveals the following correlations and impacts of specific features on the model's predictions: 

1. The presence of an atom at an aromatic/non-aromatic boundary has a strong negative correlation with its SHAP values (correlation coefficient: -0.9531) and an average impact of 0.4801.

2. The presence of two heteroatoms bonded to each other also shows a strong negative correlation with its SHAP values (correlation coefficient: -0.9688) and an average impact of 0.3475.

3. The presence of an atom with three heteroatom neighbors has a strong negative correlation with its SHAP values (correlation coefficient: -0.9601) and an average impact of 0.2489.","REFERENCE:(XpertAI,2023,XAI Summary)"
"To create a new label in a human interpretable manner, we need to focus on the essence of the label without the integers. The label ""presence of an atom at an aromatic/non-aromatic boundary"" already provides a clear description of the concept. Therefore, the new label could be:

""Atom at Aromatic Boundary""

This label succinctly conveys the idea of an atom located at the transition between aromatic and non-aromatic regions.","AtomicAtom symbol 16 One-hot B, C, N, O, F, Si, P , S, Cl, As, Se, Br, Te, I, At, metal
Degree 6 One-hot Number of covalent bonds
Formal charge 1 Integer Electrical charge
Radical electrons 1 Integer Number of radical electrons
Hybridization 6 One-hot sp, sp2, sp3, sp3d, sp3d2, other
Aromaticity 1 Binary Ehether the atom is part of an aromatic system
Hydrogens 5 One-hot Number of connected hydrogens
Chirality 1 Binary Whether the atom is chiral center
Chirality type 2 One-hot R, S
BondBond type 4 One-hot single, double, triple, aromatic
Conjugation 1 Binary Whether the bond is conjugated
Ring 1 Binary Whether the bond is in ring
Stereo 4 One-hot StereoNone, StereoAny, StereoZ, StereoE
Figure 2.  Comparison of the proposed method and other baseline models in estimating water solubility. (a ) 
Scatter plots of predicted and experimental solubility values, where the x-axis and y-axis indicate the predicted","The text appears to describe a set of features used in a chemical modeling or machine learning context, likely for predicting molecular properties such as water solubility. The features include atomic properties such as the atom type (with a one-hot encoding for elements like B, C, N, etc.), degree (number of covalent bonds), formal charge, radical electrons, hybridization state, aromaticity, number of connected hydrogens, chirality, and chirality type. Bond properties are also described, including bond type, conjugation, ring presence, and stereochemistry. Additionally, there is a reference to Figure 2, which compares the proposed method with baseline models in predicting water solubility, using scatter plots to show the relationship between predicted and experimental solubility values.","REFERENCE:(Sangho Lee, Hyunwoo Park, Chihyeon Choi, Wonjoon Kim, Ki Kang Kim, Young-Kyu Han, Joohoon Kang, Chang-Jong Kang, Youngdoo Son,2023,Multi-order graph attention network for water solubility prediction and interpretation)"
"To create a new label in a human interpretable manner, we need to focus on the essence of the label without the integers. The label ""presence of an atom at an aromatic/non-aromatic boundary"" already provides a clear description of the concept. Therefore, the new label could be:

""Atom at Aromatic Boundary""

This label succinctly conveys the idea of an atom located at the transition between aromatic and non-aromatic regions.","ity, aromatic compounds tend to have higher melting points due to
better crystal packing. The increase in log Passociated with satu-
rating a carbocyclic-aryl might be offset by a reduction in melting
point.
This is interesting given the conclusions of the empirical studies
mentioned above which suggest that increasing Fsp3 yields
improved solubility. However, since the effect of unsaturation on
solubility is context dependent, this would suggest that the results
of these studies are biased by the make-up of the compounds in
the data sets. This seems plausible since, heterocycles make up a
large portion of the compounds encountered in medicinal chem-
istry. As seen in the next section, the observations in these studies
most likely reﬂect the properties of the heteroatoms contained
within these molecules. However, since phenyl is one of the most
commonly encountered rings found in drug-like molecules50the
modiﬁcations described in the current section should prove useful.","The text discusses the relationship between the structure of aromatic compounds and their physical properties, such as melting points and solubility. Aromatic compounds generally have higher melting points due to better crystal packing. Saturating a carbocyclic-aryl can increase log P but may reduce the melting point. Empirical studies suggest that increasing Fsp3 improves solubility, but this effect is context-dependent and may be biased by the composition of the compounds in the data sets, particularly the prevalence of heterocycles in medicinal chemistry. The properties of heteroatoms in these molecules likely influence the observations. Despite this, modifications involving phenyl rings, which are common in drug-like molecules, are considered useful.","REFERENCE:(Michael A. Walker,2017,Improvement in aqueous solubility achieved via small molecular changes)"
"To create a new label in a human interpretable manner, we need to focus on the essence of the label without the integers. The label ""presence of an atom at an aromatic/non-aromatic boundary"" already provides a clear description of the concept. Therefore, the new label could be:

""Atom at Aromatic Boundary""

This label succinctly conveys the idea of an atom located at the transition between aromatic and non-aromatic regions.","and adding optimal physicochemical properties as descriptors and (2) using graph convolutional network (GCN) models to convertmolecules into a graph representation and deal with prediction tasks. Then, two prediction tasks were conducted with each method:(1) the solubility value (regression) and (2) the solubility class (classi ﬁcation). The ﬁngerprint-based method clearly demonstrates
that high performance is possible by adding simple but signi ﬁcant physicochemical descriptors to molecular ﬁngerprints, while the
GCN method shows that it is possible to predict various properties of chemical compounds with relatively simpli ﬁed features from
the graph representation. The developed methodologies provide a comprehensive understanding of constructing a proper model forpredicting solubility and can be employed to ﬁnd suitable solutes and solvents.
■INTRODUCTION
Solubility (molecular-level mixability via intermolecular
interactions) applies to all areas of chemistry, geochemistry,","The text discusses two methodologies for predicting the solubility of chemical compounds: (1) enhancing molecular fingerprints with optimal physicochemical descriptors, and (2) employing graph convolutional network (GCN) models to represent molecules as graphs for prediction tasks. Two prediction tasks were performed using each method: predicting solubility values (regression) and solubility classes (classification). The fingerprint-based method demonstrated high performance by incorporating significant physicochemical descriptors, while the GCN method showed that simplified graph representations could effectively predict various chemical properties. These methodologies offer insights into constructing models for solubility prediction and can aid in identifying suitable solutes and solvents.","REFERENCE:(Sumin Lee, Myeonghun Lee, Ki-Won Gyak, Sung Dug Kim, Mi-Jeong Kim, Kyoungmin Min,2022,Novel Solubility Prediction Models: Molecular Fingerprints and Physicochemical Features vs Graph Convolutional Neural Networks)"
"To create a new label in a human interpretable manner, we need to focus on the essence of the label without the integers. The label ""presence of an atom at an aromatic/non-aromatic boundary"" already provides a clear description of the concept. Therefore, the new label could be:

""Atom at Aromatic Boundary""

This label succinctly conveys the idea of an atom located at the transition between aromatic and non-aromatic regions.","5substructures
define rotatable bonds.21
4.Aromaticproportion(AP) scalculatedusinganin-house
program from SMILES. Uses the Daylight SMARTS defini-tion of aromatic ([a]) to count “aromatic atoms”. Theproportion of heavy atoms in the molecule that are in anaromatic ring.
10
5. Non-carbon proportion scalculated using an in-house
program from SMILES. The proportion of heavy atoms inthe molecule that are not carbon ([!#6] in SMARTS).
6. H-bond donor count scalculated using an in-house
program from SMILES.
22
7. H-bond acceptor count scalculated using an in-house
program from SMILES.22* Corresponding author e-mail: john.delaney@syngenta.com.1000 J. Chem. Inf. Comput. Sci. 2004,44,1000 -1005
10.1021/ci034243x CCC: $27.50 © 2004 American Chemical Society
Published on Web 03/13/2004
Downloaded via ECOLE POLYTECHNIC FED LAUSANNE on September 21, 2023 at 15:36:57 (UTC).
See https://pubs.acs.org/sharingguidelines for options on how to legitimately share published articles.","The text describes the calculation of various molecular properties using in-house programs from SMILES representations. These properties include:

1. Aromatic proportion (AP): Calculated using the Daylight SMARTS definition of aromatic atoms ([a]), it measures the proportion of heavy atoms in a molecule that are part of an aromatic ring.

2. Non-carbon proportion: This is the proportion of heavy atoms in a molecule that are not carbon, identified using the SMARTS notation [!#6].

3. H-bond donor count: The number of hydrogen bond donors in a molecule.

4. H-bond acceptor count: The number of hydrogen bond acceptors in a molecule.

These calculations are part of a study published in the Journal of Chemical Information and Computer Sciences in 2004.","REFERENCE:(John S. Delaney,2004,ESOL: Estimating Aqueous Solubility Directly from Molecular Structure)"
"To provide a new label in a human interpretable manner, I need to know the specific label you are referring to, including the heteroatoms and any integers present. Please provide the label you would like to be rewritten.","suitable forthe prediction of ampholytes, whereas surface area descrip-tors generated from a 3D structure of the molecule bestpredicted bases. Rather uncomplicated computational pro-tocols could be applied to accurately predict the aqueoussolubility of series of homologous compounds and specificsubsets. Finally, we conclude that in order to improve thetheoretical models for drug solubility further, even largertraining sets should be used and descriptors for solid statecharacteristics and the crystal structure should be included.The rate-limiting step in this procedure will most probablybethegenerationofalargeexperimentaldatabaseofhighestpossible quality.","The text discusses methods for predicting the solubility of compounds. It highlights that surface area descriptors from a molecule's 3D structure are effective for predicting bases, while other methods are suitable for ampholytes. Simple computational protocols can accurately predict the aqueous solubility of homologous compounds and specific subsets. To enhance theoretical models for drug solubility, larger training sets and descriptors for solid-state characteristics and crystal structures should be included. The main challenge in this process is generating a high-quality experimental database.","REFERENCE:(Christel A. S. Bergström, Carola M. Wassvik, Ulf Norinder, Kristina Luthman, Per Artursson,2004,Global and Local Computational Models for Aqueous Solubility Prediction of Drug-Like Molecules)"
"To provide a new label in a human interpretable manner, I need to know the specific label you are referring to, including the heteroatoms and any integers present. Please provide the label you would like to be rewritten.","3 Scientific  Data  |           (2019) 6:143  | https://doi.org/10.1038/s41597-019-0151-1
www.nature.com/scientificdata www.nature.com/scientificdata/ 1. Identifier generation: We chose the SMILES representation as the standard identifier for compounds for 
our curated dataset. In external datasets, where SMILES representations were not available, we used the name and the CAS Registry Number of compounds as inputs to retrieve the SMILES strings from the Chemical Identifier Resolver web service of the National Cancer Institute (https://cactus.nci.nih.gov/chemical/structure). Lastly, SLN identifiers available from some datasets were converted to SMILES using 
RDKit open-source cheminformatics software.
 2. Unit Conversion: The chosen unit of solubility in this dataset is LogS, where S is the aqueous solubility in mol/L 
(or M). Units such as g/L and mg/L were converted to LogS using the molecular mass of the compounds.","The article discusses the methodology for generating identifiers and converting units in a curated chemical dataset. SMILES (Simplified Molecular Input Line Entry System) was selected as the standard identifier for compounds. For external datasets lacking SMILES, compound names and CAS Registry Numbers were used to obtain SMILES strings via the Chemical Identifier Resolver from the National Cancer Institute. Additionally, SLN (Sybyl Line Notation) identifiers were converted to SMILES using RDKit software. For unit conversion, the dataset uses LogS as the unit of solubility, where S represents aqueous solubility in mol/L. Solubility values in g/L and mg/L were converted to LogS using the molecular mass of the compounds.","REFERENCE:(Murat Cihan Sorkun, Abhishek Khetan, Süleyman Er,2019,aqSolDB, a curated reference set of aqueous solubility and 2D descriptors for a diverse set of compounds)"
"To provide a new label in a human interpretable manner, I need to know the specific label you are referring to, including the heteroatoms and any integers present. Please provide the label you would like to be rewritten.","structure: A new molecular descriptor. New J. Chem. 1980
, 359−360.
(60) Randic, M. On molecular identification numbers. J. Chem. Inf.
Comput. Sci. 1984 ,24(3), 164 −175.
(61) CDK Descriptor Summary (2011 −05−28). http://pele.farmbio.
uu.se/nightly-1.2.x/dnames.html, accessed Feb. 10, 2014.
(62) Hewitt, M.; Cronin, M. T. D.; Enoch, S. J.; Madden, J. C.;
Roberts, D. W.; Dearden, J. C. In Silico Prediction of AqueousSolubility: The Solubility Challenge. J. Chem. Inf. Model. 2009 ,49(11),
2572−2587.
(63) Tsvetkova, B.; Pencheva, I.; Zlatkov, A.; Peikov, P. High
Performance Liquid Chromatographic Assay of Indomethacin and its
Related Substances in Tablet Dosage Forms. Int. J. Pharm. Pharm. Sci.
2012 ,4(Supplement 3), 549 −552.Journal of Chemical Information and Modeling Article
dx.doi.org/10.1021/ci4005805 |J. Chem. Inf. Model. 2014, 54, 844 −856 856","The provided text is a list of references from a journal article. It includes citations for various works related to molecular descriptors, molecular identification numbers, and in silico prediction of aqueous solubility. Additionally, it references a study on the high-performance liquid chromatographic assay of indomethacin and its related substances in tablet dosage forms. The references span from 1980 to 2012 and cover topics in chemistry and chemical information modeling.","REFERENCE:(James L. McDonagh, Neetika Nath, Luna De Ferrari, Tanja van Mourik, John B. O. Mitchell,2014,Uniting Cheminformatics and Chemical Theory To Predict the Intrinsic Aqueous Solubility of Crystalline Druglike Molecules)"
"To provide a new label in a human interpretable manner, I need to know the specific label you are referring to, including the heteroatoms and any integers present. Please provide the label you would like to be rewritten.","provided in Supplementary Figs. S1–S5.
Next, we examined how the predicted solubility values and attention scores change when some atoms (e.g., 
O and N) of the molecules are replaced with others (e.g., C).
In Fig.  4a, we changed NH in methyl hydrazine (CH 3(NH)NH 2 ) to CH 2 . In the analysis of Klopman et al.19, 
the solubility contribution value of CH x is lower than those of OH, O, NH, and NH 2 . Thus, in this case, we can 
observe the predicted solubility values were diminished than that of methyl hydrazine. Specifically, the target 
value of methyl hydrazine was 1.34 (logS), and the water solubility derived by MoGAT was 1.339 before the 
replacement, but after the replacement, it decreased to 0.409. In addition, the attention score of the replaced 
atom was also decreased. In Fig.  4b, OH in cyclohexanol (C 6H12 O) was replaced with CH 3 , becoming methylcy-
clohexane (C 7H14 ). The target values of cyclohexanol and methylcyclohexane were − 0.44 and − 3.85, respectively.","The study investigates the impact of atom replacement on the predicted solubility values and attention scores of molecules. Specifically, the replacement of NH with CH\(_2\) in methyl hydrazine (CH\(_3\)(NH)NH\(_2\)) resulted in a decrease in solubility from a target value of 1.34 (logS) to 0.409, as predicted by MoGAT. Similarly, replacing OH with CH\(_3\) in cyclohexanol (C\(_6\)H\(_{12}\)O) to form methylcyclohexane (C\(_7\)H\(_{14}\)) led to a decrease in target solubility values from -0.44 to -3.85. Additionally, the attention scores of the replaced atoms were also reduced, indicating a correlation between atom type and solubility prediction.","REFERENCE:(Sangho Lee, Hyunwoo Park, Chihyeon Choi, Wonjoon Kim, Ki Kang Kim, Young-Kyu Han, Joohoon Kang, Chang-Jong Kang, Youngdoo Son,2023,Multi-order graph attention network for water solubility prediction and interpretation)"
"To provide a new label in a human interpretable manner, I need to know the specific label you are referring to, including the heteroatoms and any integers present. Please provide the label you would like to be rewritten.","AtomicAtom symbol 16 One-hot B, C, N, O, F, Si, P , S, Cl, As, Se, Br, Te, I, At, metal
Degree 6 One-hot Number of covalent bonds
Formal charge 1 Integer Electrical charge
Radical electrons 1 Integer Number of radical electrons
Hybridization 6 One-hot sp, sp2, sp3, sp3d, sp3d2, other
Aromaticity 1 Binary Ehether the atom is part of an aromatic system
Hydrogens 5 One-hot Number of connected hydrogens
Chirality 1 Binary Whether the atom is chiral center
Chirality type 2 One-hot R, S
BondBond type 4 One-hot single, double, triple, aromatic
Conjugation 1 Binary Whether the bond is conjugated
Ring 1 Binary Whether the bond is in ring
Stereo 4 One-hot StereoNone, StereoAny, StereoZ, StereoE
Figure 2.  Comparison of the proposed method and other baseline models in estimating water solubility. (a ) 
Scatter plots of predicted and experimental solubility values, where the x-axis and y-axis indicate the predicted","The text appears to describe a set of features used in a computational chemistry model, likely for predicting molecular properties such as water solubility. The features include atomic properties such as the atom type (e.g., B, C, N, etc.), degree (number of covalent bonds), formal charge, number of radical electrons, hybridization state, aromaticity, number of connected hydrogens, chirality, and chirality type. Bond properties include bond type (single, double, triple, aromatic), conjugation, ring participation, and stereochemistry. Additionally, Figure 2 is mentioned, which compares the proposed method with baseline models in predicting water solubility, using scatter plots to show the relationship between predicted and experimental solubility values.","REFERENCE:(Sangho Lee, Hyunwoo Park, Chihyeon Choi, Wonjoon Kim, Ki Kang Kim, Young-Kyu Han, Joohoon Kang, Chang-Jong Kang, Youngdoo Son,2023,Multi-order graph attention network for water solubility prediction and interpretation)"
